DataSet,Method,Recovery_Ratio,Recovery_Ratio_std,Recovery_Ratio_ci95_lo,Recovery_Ratio_ci95_hi,CAU,CAU_std,CAU_ci95_lo,CAU_ci95_hi,CAU_pp,CAU_pp_std,CAU_pp_ci95_lo,CAU_pp_ci95_hi,RRD,RRD_std,RRD_ci95_lo,RRD_ci95_hi,RRD_pp,RRD_pp_std,RRD_pp_ci95_lo,RRD_pp_ci95_hi,extra_recoveries,extra_recoveries_std,CAU_pp_perm_p,N_Runs,N_Valid_CAU_Runs,Modality,Dataset
multi_ARTemis,R_L,0.7843,0.2986,0.5612,1.0007,-0.0252,0.0348,-0.0471,0.0001,-2.5184,3.4829,-4.7103,0.0068,-0.0719,0.0887,-0.1367,0.0002,-7.1905,8.8711,-13.6747,0.0201,-1.6794,2.2273,0.3766,10,10,Multi-omics,ARTemis multi-omics
multi_ARTemis,S_L,1.8631,0.3322,1.4744,2.3197,0.0469,0.0175,0.0275,0.068,4.6873,1.7452,2.7547,6.7952,0.1822,0.0565,0.1113,0.2633,18.2191,5.6514,11.1326,26.3286,3.3748,1.2565,0.001,10,10,Multi-omics,ARTemis multi-omics
multi_ARTemis,XGB,2.6648,0.3988,2.1003,3.3959,0.077,0.008,0.0565,0.1,7.7022,0.8042,5.6477,9.9964,0.3082,0.0633,0.2289,0.3882,30.824,6.3337,22.8893,38.8191,5.5456,0.579,0.001,10,10,Multi-omics,ARTemis multi-omics
multi_ARTemis,X_L,2.7026,0.4864,2.0964,3.3753,0.0791,0.0176,0.0561,0.1009,7.9097,1.7606,5.6054,10.0863,0.3073,0.0644,0.2269,0.3881,30.7343,6.4443,22.6894,38.8141,5.695,1.2676,0.1628,10,10,Multi-omics,ARTemis multi-omics
OOD_multi_Trans_ART,BITES,3.3163,,1.34,6.8029,0.0485,,0.0059,0.0972,4.8504,,0.5907,9.7222,0.4989,,0.0865,0.8335,49.8901,,8.6525,83.3458,3.4923,,0.005,1,1,,TransNEO and ARTemis multi-omics OOD
OOD_multi_Trans_ART,CB,2.5105,,1.2,5.662,0.0752,,0.0111,0.1498,7.521,,1.1102,14.9779,0.285,,0.0475,0.527,28.5005,,4.7537,52.6959,5.4151,,0.009,1,1,,TransNEO and ARTemis multi-omics OOD
OOD_multi_Trans_ART,CF,1.125,,0.4967,2.6463,0.0139,,-0.0723,0.1028,1.3889,,-7.226,10.2805,0.0312,,-0.1592,0.2429,3.125,,-15.9191,24.2871,1.0,,0.7602,1,1,,TransNEO and ARTemis multi-omics OOD
OOD_multi_Trans_ART,CUTS,0.9231,,0.2999,2.0204,-0.0069,,-0.0764,0.0659,-0.6944,,-7.6405,6.5937,-0.0208,,-0.2238,0.1875,-2.0833,,-22.3775,18.752,-0.5,,0.7832,1,1,,TransNEO and ARTemis multi-omics OOD
OOD_multi_Trans_ART,DR_L,1.3846,,0.4208,3.5,0.0231,,-0.0363,0.0942,2.3148,,-3.634,9.4156,0.0926,,-0.1597,0.3623,9.2593,,-15.9681,36.2302,1.6667,,0.6743,1,1,,TransNEO and ARTemis multi-omics OOD
OOD_multi_Trans_ART,FDR,2.8656,,1.3739,9.0125,0.1175,,0.031,0.2156,11.7547,,3.0964,21.5643,0.273,,0.0723,0.4851,27.3013,,7.2338,48.51,8.4634,,0.013,1,1,,TransNEO and ARTemis multi-omics OOD
OOD_multi_Trans_ART,R_L,0.4118,,0.0,1.135,-0.0397,,-0.0871,0.006,-3.9683,,-8.7126,0.6002,-0.1786,,-0.375,0.0309,-17.8571,,-37.5,3.0935,-2.8571,,0.5694,1,1,,TransNEO and ARTemis multi-omics OOD
OOD_multi_Trans_ART,S_L,2.9118,,1.3995,6.667,0.0821,,0.0188,0.1571,8.2071,,1.8827,15.7051,0.3476,,0.0925,0.601,34.7594,,9.251,60.0956,5.9091,,0.006,1,1,,TransNEO and ARTemis multi-omics OOD
OOD_multi_Trans_ART,XGB,2.1429,,1.0415,5.6382,0.0889,,0.0032,0.1836,8.8889,,0.3199,18.3615,0.2,,0.0085,0.4,20.0,,0.8511,40.0,6.4,,0.025,1,1,,TransNEO and ARTemis multi-omics OOD
OOD_multi_Trans_ART,X_L,1.746,,0.8333,4.4495,0.0593,,-0.0167,0.1491,5.9343,,-1.6667,14.9134,0.1526,,-0.0425,0.3751,15.2597,,-4.2481,37.5066,4.2727,,0.0609,1,1,,TransNEO and ARTemis multi-omics OOD
